id,hex_code,timestamp
F001,46 30 30 31,2026-08-05 17:50:57
I999,49 39 39 39,2026-08-05 17:50:57
F002,46 30 30 32,2026-08-05 17:51:15
F003,46 30 30 33,2026-08-05 17:51:18
F403,46 34 30 33,2026-08-05 17:51:35
G777,47 37 37 37,2026-08-05 17:52:48
I006,49 30 30 36,2026-08-06 09:42:43
I007,49 30 30 37,2026-08-06 09:42:51
G023,47 30 32 33,2026-08-06 10:30:59
G021,47 30 32 31,2026-08-06 10:32:21
G032,47 30 33 32,2026-08-06 10:32:49
F005,46 30 30 35,2026-08-06 10:38:53
H123,48 31 32 33,2026-08-06 10:39:24
F008,46 30 30 38,2026-08-06 10:45:30
F009,46 30 30 39,2026-08-06 10:45:39
